CV:    -1	28.65	26.54	
Univ: 337	27.79	26.89	16.7803	
Univ: 338	26.85	26.50	22.4286	
Univ: 339	28.97	29.55	0.1759	
Univ: 340	28.96	28.21	0.8105	
Univ: 341	26.79	25.99	0.4612	
Univ: 342	28.46	27.28	0.0024	
Univ: 343	31.32	27.66	0.0735	
Univ: 344	26.73	25.81	2.7639	
Univ: 345	25.56	26.76	0.5048	
Univ: 346	32.88	25.70	0.1904	
Univ: 347	29.34	26.73	0.1014	
Univ: 348	31.83	26.52	0.6703	
Univ: 349	26.96	30.93	0.0007	
Univ: 350	29.77	26.20	5.6875	
Univ: 351	29.57	27.40	0.6352	
Univ: 352	34.39	26.82	1.1435	
Univ: 353	31.77	26.12	0.2372	
Univ: 354	22.41	28.35	0.6716	
Univ: 355	29.09	28.56	0.0343	
Univ: 356	29.06	25.01	4.7618	
Univ: 357	32.74	27.74	5.4689	
Univ: 358	30.27	29.66	0.0030	
Univ: 359	27.72	28.10	0.0117	
Univ: 360	25.83	25.72	0.0235	
Univ: 361	33.37	26.37	1.1331	
Univ: 362	31.66	24.28	0.9613	
Univ: 363	32.75	27.27	0.0174	
Univ: 364	29.07	28.42	0.0000	
Univ: 365	27.64	29.51	0.0001	
Univ: 366	30.46	27.57	0.0169	
Univ: 367	31.66	26.10	1.5290	
Univ: 368	28.69	26.10	0.9813	
Univ: 369	29.02	27.19	2.7365	
Univ: 370	27.17	26.25	9.0738	
Univ: 371	27.84	29.79	0.0482	
Univ: 372	32.56	28.04	0.0086	
Univ: 373	29.29	27.70	0.0240	
Univ: 374	27.85	31.04	0.0307	
Univ: 375	29.55	30.07	0.0291	
Univ: 376	28.53	26.98	0.1758	
Univ: 377	27.43	27.47	2.3611	
Univ: 378	26.69	27.97	0.3195	
Univ: 379	29.17	28.30	0.4178	
Univ: 380	29.83	28.56	3.8291	
Univ: 381	25.62	26.43	7.2453	
Univ: 382	26.50	24.76	0.0675	
Univ: 383	31.41	26.89	11.9961	
Univ: 384	29.87	27.20	1.9574	
Univ: 385	28.21	31.41	0.0026	
Univ: 386	25.09	26.93	0.4697	
Univ: 387	25.40	29.20	0.0113	
Univ: 388	28.82	27.12	0.8464	
Univ: 389	29.20	28.69	0.1145	
Univ: 390	25.11	26.30	3.0815	
Univ: 391	32.78	27.00	8.0480	
Univ: 392	28.10	29.49	0.0045	
Univ: 393	29.96	30.03	0.0063	
Univ: 394	26.27	27.98	0.0012	
Univ: 395	29.09	28.31	1.2843	
Univ: 396	32.45	28.56	0.0033	
Univ: 397	26.53	24.08	0.1930	
Univ: 398	29.32	28.71	0.1864	
Univ: 399	29.88	27.19	0.0000	
Univ: 400	28.06	26.82	0.6373	
Univ: 401	29.09	27.47	0.1288	
Univ: 402	29.72	25.74	0.2784	
Univ: 403	26.20	26.39	0.0311	
Univ: 404	29.68	28.12	0.1043	
Univ: 405	31.27	28.45	0.5650	
Univ: 406	28.71	28.16	3.2724	
Univ: 407	29.89	27.38	0.1049	
Univ: 408	29.77	27.03	0.4202	
Univ: 409	28.17	28.04	0.1785	
Univ: 410	27.00	28.72	2.0844	
Univ: 411	29.67	29.87	0.0039	
Univ: 412	29.66	28.24	0.0053	
Univ: 413	28.27	30.78	0.0264	
Univ: 414	30.26	26.85	5.8217	
Univ: 415	30.76	25.38	1.3046	
Univ: 416	30.02	28.23	0.0720	
Univ: 417	29.45	25.21	0.5362	
Univ: 418	26.76	26.39	0.1466	
Univ: 419	30.53	29.41	0.0033	
Univ: 420	30.39	28.94	0.0010	
Univ: 421	28.10	29.91	0.0019	
Univ: 422	29.74	29.35	0.0023	
Univ: 423	26.04	28.05	0.2383	
Univ: 424	27.38	27.33	0.0138	
Univ: 425	26.48	29.81	0.0124	
Univ: 426	29.55	27.90	0.1004	
Univ: 427	31.34	26.89	0.0042	
Univ: 428	30.22	24.91	8.1962	
Univ: 429	27.43	27.10	0.2314	
Univ: 430	25.77	28.51	0.1158	
Univ: 431	30.63	24.31	0.9368	
Univ: 432	24.09	26.14	0.0321	
Univ: 433	28.62	27.12	2.4206	
Univ: 434	28.57	29.56	0.0010	
Univ: 435	36.51	26.82	0.0104	
Univ: 436	29.74	27.41	0.8342	
Univ: 437	29.91	27.24	1.5669	
Univ: 438	28.88	28.36	0.0014	
Univ: 439	27.81	32.23	0.0006	
Univ: 440	26.09	31.02	0.0260	
Univ: 441	24.59	26.77	0.2629	
Univ: 442	31.00	26.73	5.9711	
Univ: 443	27.53	26.40	0.1965	
Univ: 444	27.58	25.70	0.0702	
Univ: 445	32.33	29.36	1.1415	
Univ: 446	28.99	26.67	23.9161	
Univ: 447	27.63	31.29	0.0000	
Univ: 448	27.99	28.85	13.9463	
Univ: 449	26.87	29.91	0.3023	
Univ: 450	30.11	29.89	0.4548	
Univ: 451	28.95	27.52	2.1815	
Univ: 452	27.40	27.27	0.5119	
Univ: 453	30.92	27.71	2.7943	
Univ: 454	33.24	25.08	21.1727	
Univ: 455	30.88	30.48	0.0056	
Univ: 456	26.58	27.87	0.1038	
Univ: 457	32.51	25.05	0.5594	
Univ: 458	28.29	27.28	0.0016	
Univ: 459	29.70	26.13	5.8157	
Univ: 460	24.75	22.76	0.1335	
Univ: 461	27.45	27.74	12.6646	
Univ: 462	29.03	25.90	0.8824	
Univ: 463	30.22	28.64	0.0962	
Univ: 464	30.00	28.23	0.0430	
Univ: 465	27.74	28.47	4.3050	
Univ: 466	28.28	26.60	0.0151	
Univ: 467	29.85	27.74	0.0700	
Univ: 468	28.98	27.62	0.0137	
Univ: 469	26.42	30.84	0.0001	
Univ: 470	26.67	31.20	0.0072	
Univ: 471	29.42	25.29	0.0269	
Univ: 472	25.86	27.49	0.0296	
Univ: 473	31.69	28.36	3.3365	
Univ: 474	28.08	26.16	1.4278	
Univ: 475	27.86	27.30	2.7681	
Univ: 476	29.96	26.28	1.8295	
Univ: 477	27.67	27.27	0.0737	
Univ: 478	28.71	30.01	0.5887	
Univ: 479	29.39	27.52	0.7016	
Univ: 480	26.82	29.34	0.0231	
Univ: 481	27.57	28.61	0.0007	
Univ: 482	28.73	26.36	6.6250	
Univ: 483	28.90	26.45	14.3099	
Univ: 484	30.97	26.64	0.0185	
Univ: 485	34.04	29.97	0.2753	
Univ: 486	27.96	29.20	0.3365	
Univ: 487	28.14	26.19	3.5359	
Univ: 488	28.36	27.81	0.0021	
Univ: 489	26.82	29.63	0.0742	
Univ: 490	26.24	27.76	0.0538	
Univ: 491	25.30	31.26	0.0108	
Univ: 492	26.02	27.18	0.2402	
Univ: 493	30.04	29.99	0.1317	
Univ: 494	30.66	26.92	1.3161	
Univ: 495	29.39	25.68	6.9599	
Univ: 496	26.90	30.40	0.0072	
Univ: 497	31.85	25.90	0.0922	
Univ: 498	29.14	28.33	0.0177	
Univ: 499	30.39	27.89	0.0037	
Univ: 500	31.76	28.98	0.0312	
Univ: 501	26.74	26.79	0.0000	
Univ: 502	26.94	30.76	0.0000	
Univ: 503	28.66	29.19	0.0000	
Univ: 504	28.64	29.81	0.0005	
Univ: 505	26.91	31.17	0.0000	
Univ: 506	30.07	30.00	0.0001	
Univ: 507	26.88	29.56	0.0000	
Univ: 508	26.02	30.08	0.0000	
Univ: 509	29.74	26.90	0.0001	
Univ: 510	33.61	29.50	0.0000	
Univ: 511	30.24	32.44	0.0000	
Univ: 512	29.38	28.13	0.0000	
Univ: 513	27.36	29.04	0.0000	
Univ: 514	26.40	28.83	0.0018	
Univ: 515	27.20	28.36	0.0000	
Univ: 516	26.13	29.35	0.0126	
Univ: 517	30.12	28.47	0.0067	
Univ: 518	35.06	31.86	0.0000	
Univ: 519	28.82	27.56	0.0000	
Univ: 520	29.21	31.57	0.0000	
Univ: 521	28.30	29.87	0.0000	
Univ: 522	28.04	33.73	0.0000	
Univ: 523	30.71	29.55	0.0000	
Univ: 524	30.23	29.58	0.0000	
Univ: 525	30.26	28.04	0.1034	
Univ: 526	32.59	28.34	0.0001	
Univ: 527	29.98	29.19	0.0035	
Univ: 528	26.24	28.86	0.0002	
Univ: 529	28.17	31.57	0.0000	
Univ: 530	30.93	29.78	0.0000	
Univ: 531	29.16	30.52	0.0002	
Univ: 532	27.72	31.79	0.0000	
Univ: 533	29.32	28.83	0.0011	
Univ: 534	27.02	31.08	0.0000	
Univ: 535	29.46	28.28	0.0001	
Univ: 536	31.57	26.89	0.0119	
Univ: 537	28.11	30.10	0.0003	
Univ: 538	26.66	26.13	0.0240	
Univ: 539	28.05	28.01	0.0002	
Univ: 540	31.35	28.60	0.0068	
Univ: 541	29.29	30.91	0.0000	
Univ: 542	29.56	29.06	0.0011	
Univ: 543	27.91	32.17	0.0000	
Univ: 544	25.91	31.21	0.0000	
Univ: 545	30.01	29.83	0.0000	
Univ: 546	26.91	32.27	0.0000	
Univ: 547	31.24	31.06	0.0000	
Univ: 548	28.27	31.67	0.0000	
Univ: 549	30.44	28.39	0.0000	
Univ: 550	25.25	32.32	0.0000	
Univ: 551	27.10	30.08	0.0000	
Univ: 552	30.33	31.20	0.0001	
Univ: 553	34.85	27.58	0.0000	
Univ: 554	30.46	29.36	0.0000	
Univ: 555	30.42	31.07	0.0000	
Univ: 556	23.79	28.19	0.0000	
Univ: 557	31.07	30.77	0.0001	
Univ: 558	30.01	27.08	0.0003	
Univ: 559	30.65	30.77	0.0000	
Univ: 560	26.30	29.45	0.0000	
Univ: 561	27.77	28.45	0.0115	
Univ: 562	31.18	32.54	0.0000	
Univ: 563	30.42	31.06	0.0000	
Univ: 564	27.34	32.54	0.0000	
Univ: 565	27.12	26.72	0.0692	
Univ: 566	32.69	30.16	0.0000	
Univ: 567	27.12	30.98	0.0000	
Univ: 568	29.69	29.71	0.0000	
Univ: 569	28.84	29.69	0.0000	
Univ: 570	24.59	28.51	0.0001	
Univ: 571	27.17	33.58	0.0000	
Univ: 572	30.25	32.63	0.0000	
Univ: 573	28.33	28.86	0.0003	
Univ: 574	28.61	32.30	0.0000	
Univ: 575	29.69	29.72	0.0000	
Univ: 576	29.39	29.56	0.0000	
Univ: 577	25.44	28.56	0.0006	
Univ: 578	28.37	28.46	0.0006	
Univ: 579	27.81	30.17	0.0000	
Univ: 580	31.04	28.90	0.0000	
Univ: 581	27.25	27.98	0.0000	
Univ: 582	28.34	30.01	0.0005	
Univ: 583	26.28	26.61	0.0009	
Univ: 584	29.27	31.79	0.0000	
Univ: 585	31.28	32.29	0.0000	
Univ: 586	29.24	30.45	0.0000	
Univ: 587	29.04	32.23	0.0000	
Univ: 588	30.54	31.64	0.0000	
Univ: 589	28.54	30.29	0.0000	
Univ: 590	29.65	28.17	0.0021	
Univ: 591	29.20	31.75	0.0000	
Univ: 592	32.58	28.61	0.0000	
Univ: 593	26.14	32.13	0.0000	
Univ: 594	27.67	33.19	0.0000	
Univ: 595	27.22	29.10	0.0039	
Univ: 596	30.72	33.45	0.0000	
Univ: 597	30.90	29.95	0.0000	
Univ: 598	30.94	29.65	0.0001	
Univ: 599	28.98	29.74	0.0000	
Univ: 600	31.56	30.07	0.0000	
Univ: 601	33.05	26.98	0.0055	
Univ: 602	28.14	28.17	0.0115	
Univ: 603	32.89	31.16	0.0000	
Univ: 604	31.13	31.14	0.0000	
Univ: 605	26.88	30.45	0.0000	
Univ: 606	31.52	32.64	0.0000	
Univ: 607	27.31	31.52	0.0000	
Univ: 608	30.50	31.15	0.0000	
Univ: 609	28.37	29.97	0.0002	
Univ: 610	29.85	30.05	0.0000	
Univ: 611	29.55	29.50	0.0020	
Univ: 612	28.87	30.34	0.0000	
Univ: 613	27.36	31.65	0.0011	
Univ: 614	29.36	31.75	0.0000	
Univ: 615	29.62	29.01	0.0056	
Univ: 616	29.42	35.20	0.0000	
Univ: 617	24.25	34.70	0.0000	
Univ: 618	26.06	29.92	0.0000	
Univ: 619	25.67	28.58	0.0027	
Univ: 620	30.08	31.46	0.0000	
Univ: 621	32.82	31.05	0.0000	
Univ: 622	29.13	29.51	0.0014	
Univ: 623	28.15	28.75	0.0000	
Univ: 624	27.92	28.09	0.0000	
Univ: 625	28.91	29.90	0.0000	
Univ: 626	27.82	28.64	0.0000	
Univ: 627	27.89	33.09	0.0000	
Univ: 628	27.93	27.99	0.0000	
Univ: 629	29.07	28.36	0.0000	
Univ: 630	27.85	28.59	0.0000	
Univ: 631	29.19	27.23	0.0003	
Univ: 632	28.24	26.36	0.0153	
Univ: 633	28.24	29.50	0.0005	
Univ: 634	29.04	30.70	0.0000	
Univ: 635	31.40	31.44	0.0000	
Univ: 636	26.96	31.28	0.0000	
Univ: 637	28.95	29.71	0.0000	
Univ: 638	28.60	29.04	0.0001	
Univ: 639	28.63	30.65	0.0000	
Univ: 640	25.96	31.16	0.0000	
Univ: 641	32.86	28.89	0.0010	
Univ: 642	29.94	28.98	0.0000	
